"sep=	"
Shimmer_1875_TimestampSync_Unix_CAL	Shimmer_1875_GSR_Range_CAL	Shimmer_1875_GSR_Skin_Conductance_CAL	Shimmer_1875_GSR_Skin_Resistance_CAL	
ms	no_units	uS	kOhms	
1.7442877625509697E12	3.0	0.9028749028749029	1107.5731497418244	
1.744287762554876E12	3.0	0.9033189033189033	1107.0287539936103	
1.7442877625587822E12	3.0	0.9033189033189033	1107.0287539936103	
1.7442877625626882E12	3.0	0.9037629037629038	1106.484893146647	
1.7442877625665945E12	3.0	0.9028749028749029	1107.5731497418244	
1.7442877625705007E12	3.0	0.9024309024309025	1108.1180811808117	
1.744287762574407E12	3.0	0.9024309024309025	1108.1180811808117	
1.744287762578313E12	3.0	0.9033189033189033	1107.0287539936103	
1.7442877625822192E12	3.0	0.9024309024309025	1108.1180811808117	
1.7442877625861255E12	3.0	0.9028749028749029	1107.5731497418244	
1.7442877625900317E12	3.0	0.9028749028749029	1107.5731497418244	
1.7442877625939377E12	3.0	0.9024309024309025	1108.1180811808117	
1.744287762597844E12	3.0	0.901986901986902	1108.663549101649	
1.7442877626017502E12	3.0	0.901986901986902	1108.663549101649	
1.7442877626056565E12	3.0	0.9024309024309025	1108.1180811808117	
1.7442877626095625E12	3.0	0.9028749028749029	1107.5731497418244	
1.7442877626134688E12	3.0	0.901986901986902	1108.663549101649	
1.744287762617375E12	3.0	0.901986901986902	1108.663549101649	
1.7442877626212812E12	3.0	0.901986901986902	1108.663549101649	
1.7442877626251873E12	3.0	0.901986901986902	1108.663549101649	
1.7442877626290935E12	3.0	0.9015429015429015	1109.2095542969712	
1.7442877626329998E12	3.0	0.9015429015429015	1109.2095542969712	
1.744287762636906E12	3.0	0.9015429015429015	1109.2095542969712	
1.744287762640812E12	3.0	0.901986901986902	1108.663549101649	
1.7442877626447183E12	3.0	0.9015429015429015	1109.2095542969712	
1.7442877626486245E12	3.0	0.9015429015429015	1109.2095542969712	
1.7442877626525308E12	3.0	0.9015429015429015	1109.2095542969712	
1.7442877626564368E12	3.0	0.9015429015429015	1109.2095542969712	
1.744287762660343E12	3.0	0.9010989010989011	1109.7560975609756	
1.7442877626642493E12	3.0	0.9015429015429015	1109.2095542969712	
1.7442877626681555E12	3.0	0.9015429015429015	1109.2095542969712	
1.7442877626720615E12	3.0	0.9015429015429015	1109.2095542969712	
1.7442877626759678E12	3.0	0.9010989010989011	1109.7560975609756	
1.744287762679874E12	3.0	0.9010989010989011	1109.7560975609756	
